Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,64603428,8275.795162,3865904,628592,1500614,192.2308841,71156,12161,
United States of America,Americas,13759500,41569.15,1136725,195769,271233,819.43,11160,2751,Community transmission
India,South-East Asia,9571559,6935.89,261772,36595,139188,100.86,3473,540,Clusters of cases
Brazil,Americas,6436650,30281.65,270044,49863,174515,821.02,3746,698,Community transmission
Russian Federation,Europe,2402949,16465.95,187416,27403,42176,289.01,3618,569,Clusters of cases
France,Europe,2217873,33978.15,72956,12661,53779,823.9,3181,324,Community transmission
Spain,Europe,1675902,35844.51,46427,4570,46038,984.67,1013,49,Community transmission
The United Kingdom,Europe,1674138,24661.02,99572,14878,60113,885.5,3082,414,Community transmission
Italy,Europe,1664829,27535.21,154954,23219,58038,959.91,5188,993,Clusters of cases
Argentina,Americas,1440103,31863.66,49715,7533,39156,866.36,1442,228,Community transmission
Colombia,Americas,1334089,26218.81,63098,9297,37117,729.46,1257,183,Community transmission
Mexico,Americas,1133613,8792.28,63126,11251,107565,834.27,3968,800,Community transmission
Germany,Europe,1130237,13489.9,123843,23448,18034,215.24,2448,432,Clusters of cases
Poland,Europe,1028610,27178.39,87498,14863,18828,497.48,3260,620,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1003494,11947.36,95148,13922,49348,587.53,2659,358,Community transmission
Peru,Americas,967075,29330.32,12616,1847,36076,1094.15,349,45,Community transmission
South Africa,Africa,800872,13503.45,22301,4400,21803,367.62,514,94,Community transmission
Ukraine,Europe,787891,18015.62,94484,15131,13195,301.71,1286,235,Community transmission
Belgium,Europe,584754,50454.96,11219,3,17033,1469.68,655,15,Community transmission
Iraq,Eastern Mediterranean,558767,13891.9,14097,2039,12361,307.32,236,21,Community transmission
Indonesia,South-East Asia,557877,2039.59,41124,8369,17355,63.45,1003,156,Community transmission
Chile,Americas,555406,29054.2,9744,1508,15519,811.82,284,81,Community transmission
Czechia,Europe,537663,50206.74,26143,4621,8641,806.89,862,126,Community transmission
Netherlands,Europe,537397,31362.77,34887,5603,9552,557.46,381,61,Community transmission
Turkey,Europe,520167,6167.57,45561,6511,14316,169.74,1302,187,Community transmission
Romania,Europe,492211,25585.76,42862,7661,11876,617.33,1164,211,Community transmission
Bangladesh,South-East Asia,471739,2864.42,15301,2316,6748,40.97,224,35,Community transmission
Philippines,Western Pacific,435413,3973.43,11116,1056,8446,77.08,204,10,Community transmission
Pakistan,Eastern Mediterranean,406810,1841.67,20612,3499,8205,37.14,362,39,Clusters of cases
Canada,Americas,389775,10327.31,42309,6307,12325,326.56,615,114,Community transmission
Morocco,Eastern Mediterranean,368624,9986.95,27940,4434,6063,164.26,444,78,Clusters of cases
Saudi Arabia,Eastern Mediterranean,358102,10286.19,1713,230,5930,170.33,90,11,Sporadic cases
Israel,Europe,339952,39275.68,7741,1582,2887,333.54,54,4,Community transmission
Switzerland,Europe,338731,39138.74,26009,4421,4732,546.76,637,80,Community transmission
Portugal,Europe,307618,30168.36,27224,3772,4724,463.29,515,79,Clusters of cases
Austria,Europe,291437,32358.89,26745,3783,3447,382.73,831,118,Community transmission
Sweden,Europe,272643,26996.32,34999,5741,7007,693.81,113,26,Community transmission
Hungary,Europe,238056,24642.58,39616,6212,5513,570.68,1149,189,Community transmission
Nepal,South-East Asia,237589,8154.26,9949,1343,1551,53.23,139,13,Clusters of cases
Jordan,Eastern Mediterranean,231237,22663.33,28216,4029,2909,285.11,400,55,Community transmission
Serbia,Europe,199158,28599.19,50944,7802,1765,253.45,399,61,Community transmission
Ecuador,Americas,195884,11102.61,7746,1008,13612,771.52,296,50,Community transmission
Kazakhstan,Europe,177386,9447.13,5407,1044,2477,131.92,60,0,Clusters of cases
United Arab Emirates,Eastern Mediterranean,172751,17466.53,8784,1317,585,59.15,21,5,Community transmission
Panama,Americas,169339,39246.38,10807,2028,3114,721.71,112,16,Community transmission
Japan,Western Pacific,155232,1227.36,15741,2405,2240,17.71,189,27,Clusters of cases
Bulgaria,Europe,155193,22334.93,18565,3280,4503,648.06,974,156,Clusters of cases
Georgia,Europe,152704,38279.67,29234,5068,1425,357.22,264,38,Community transmission
Dominican Republic,Americas,146009,13459.64,5087,812,2335,215.25,18,1,Community transmission
Bolivia (Plurinational State of),Americas,144994,12421.29,718,184,8972,768.61,39,9,Community transmission
Kuwait,Eastern Mediterranean,143574,33619.39,2027,314,884,207,12,2,Community transmission
Belarus,Europe,141609,14986.15,11597,1701,1181,124.98,53,7,Community transmission
Costa Rica,Americas,141340,27745.73,6820,1168,1739,341.37,65,8,Community transmission
Armenia,Europe,139692,47141.59,7346,1184,2277,768.41,187,23,Community transmission
Qatar,Eastern Mediterranean,139477,48411.81,1411,221,239,82.96,2,0,Community transmission
Croatia,Europe,139415,33960.03,23789,4534,1964,478.41,412,48,Community transmission
Azerbaijan,Europe,133733,13189.73,27632,4189,1510,148.93,254,40,Clusters of cases
Lebanon,Eastern Mediterranean,132776,19453.09,10617,1520,1067,156.33,93,12,Community transmission
Oman,Eastern Mediterranean,124329,24346.6,1750,184,1435,281.01,44,5,Community transmission
Guatemala,Americas,124053,6924.31,3368,593,4209,234.94,76,18,Community transmission
Egypt,Eastern Mediterranean,117156,1144.83,2681,432,6713,65.6,117,19,Clusters of cases
Republic of Moldova,Europe,112307,27840.36,9413,1727,2363,585.78,134,20,Community transmission
Ethiopia,Africa,111579,970.56,3910,595,1724,15,52,9,Community transmission
Greece,Europe,111537,10700.99,12231,1882,2706,259.62,705,100,Community transmission
Slovakia,Europe,111208,20369.1,9951,1982,930,170.34,181,32,Clusters of cases
Honduras,Americas,109144,11019.52,3028,503,2930,295.82,42,3,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,106312,20839.71,14848,2738,873,171.13,106,19,Community transmission
Venezuela (Bolivarian Republic of),Americas,103067,3624.53,2250,446,905,31.83,25,4,Community transmission
Tunisia,Eastern Mediterranean,99280,8400.3,6805,0,3359,284.21,325,0,Community transmission
China,Western Pacific,93905,63.83,792,108,4752,3.23,3,1,Clusters of cases
Myanmar,South-East Asia,93600,1720.28,8395,1411,1998,36.72,152,26,Clusters of cases
Bosnia and Herzegovina,Europe,91539,27901.26,7287,1161,2812,857.1,332,39,Community transmission
Bahrain,Eastern Mediterranean,87432,51382.98,1085,162,341,200.4,0,0,Clusters of cases
